F = 183.0
tildeV = [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]
opening hub costs
1:25.0 2:25.0 3:25.0 4:25.0 5:25.0 6:25.0 7:25.0 8:25.0 9:25.0 10:25.0 11:25.0 12:25.0 13:25.0 14:25.0 15:25.0 16:25.0 17:25.0 18:25.0 19:25.0 20:25.0 21:25.0 22:25.0 23:25.0 24:25.0 25:25.0 
c = 
      1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   
16   364  609  476  371  238  301  196  385  469  518  497  315  224  203  280   .  679  553  392  315  567  392  434  315  441 
17   399  546  210  819  637  469  483  385  217  469  553  448  560  574  511  679   .  210  819  378  364  315  840  588  252 
18   378  343  112  623  581  287  378  196  119  259  343  420  392  406  329  553  210   .  623  315  168  287  637  399  133 
19   665  441  616   28  623  357  469  434  609  413  336  644  280  280  315  392  819  623   .  581  525  644   42  231  581 
20    91  546  210  567  273  259  126  259  203  434  469  112  301  301  280  315  378  315  581   .  420   77  616  378  182 
21   497  175  259  532  658  266  427  182  259  112  203  525  357  378  294  567  364  168  525  420   .  413  532  322  252 
22    91  560  175  630  322  308  203  280  168  455  504  140  357  364  336  392  315  287  644   77  413   .  679  434  168 
23   700  434  644   70  672  385  504  455  637  420  336  679  315  315  350  434  840  637   42  616  532  679   .  252  602 
24   469  301  392  231  504  133  294  203  385  231  182  462   98  119   98  315  588  399  231  378  322  434  252   .  350 
25   252  406   42  574  455  224  252  154   35  301  364  287  315  329  259  441  252  133  581  182  252  168  602  350   . 

c'=0.01c and d'=0.01d
